Tweet,Sentiment
#fail: Why Save The Children’s PR to defend #Blair is almost worse than award itself! great blog from @aidnography http://t.co/U34PPzhCAa,negative
My phone has started 'dropping' hints that it needs to be replaced. Has fallen for the 3rd time today. :( #tech #fail,negative
The falling price of oil will remove the last tattered arrogant shreds of the pretense that is Conservative economic policy #fail #cdnpoli,negative
"""A man can #fail many times, but he isn't a #failure until he begins to #blame somebody else."" John Burroughs",negative
"""Smarten up, Nas! 4 albums in 10 years, homey, I can divide! That's one [album] every, let's say, two [years]."" #fail #obviouslycannotdivide",negative
Waiting in the car for @Curvyjax to arrive. I need to rob her because I don't have any change for the ticket machine #fail,negative
Photo: #Epic #Fail #Facepalm when #TimesOfIndia makes disastrous blunder and kills #SachinTendulkar … #Rip... http://t.co/jY63GYBBCQ,negative
Becky #fail missed myself on CBC,negative
The Comeback Keys http://t.co/tmrrlvqNXr #fail #comeback #business #hope #inspiration #entrepreneur,negative
i never ever wanted to be a nurse in my entire life. Senior quote tho 😅 #fail http://t.co/bIyHxBwUC4,negative
http://t.co/AYNQA2tHbv: Game review ★ GTA 5 ONLINE EPIC #Fail!! LOL XD Battle Hard Game http://t.co/tWdWY8KHhp,negative
"If this is what we've come to, we've failed at life - https://t.co/vdbYCy1oO5 WTF?! #BlackFriday #fail",negative
A mathematical #genius must've left this combination of weights on the #legpress. #gym #fail http://t.co/Zv1kc1i0vJ,negative
".@David_Cameron chickens out of extending the trailed cap on immigrants to EU Citizens, so it's still screw you Commonwealth & RoW #fail #eu",negative
Booked a Friday off for some quiet Xmas shopping and catchup with my Mum.. Totally didn't appreciate it would be #BlackFriday madness! #fail,negative
Cause Vishal asked me to do it NOW. #fail #bangbang #nojessiejvocalchords #shyshy http://t.co/kzMY72k0k6,negative
"So much confusion, diversion and no proper signage at @DXBGrandParade #Fail (I was so excited)",negative
"And @Argos_Online website #crashed of course you are experiencing high volumes, you're running tons of TV ads, press ads #FAIL",negative
I was writing the best poem of my life and then my computer turns off. There goes my masterpiece #fail,negative
A Comeback Key http://t.co/FGhjAMvqWn #fail #comeback #business #hope #inspiration #entrepreneur,negative
Looks like next weeks burger van run is going to be expensive #fail,negative
Buying things before Black Friday for them to be further reduced. Now I feel I need some bargains to make up for it! #fail #BlackFriday,negative
Twitter CFO Mistakenly Tweets About Deal: 'I Have a Plan' http://t.co/vlwYDf9EHC #twittergonewrong #socialmedia #udontseethiseveryday #fail,negative
"Dear google, turning the top and bottom bar from Black to Red actually drains more battery on OLED displays. #fail",negative
Why would she say that!? I thought we had moved on from being a prejudiced. 2/2 #prejudice #fail,negative
What is the point of #blackfridaydeals if none of you can keep your sites up? @AmazonUK @Argos_Online @Tesco so much #FAIL,negative
"Secret Santa present got delivered to the office UNWRAPPED. Everyone's seen it,Even the person who's it is. So they know it's me. #fail",negative
"I was in France for the 2012 Olympics, Mexico when Murray won Wimbledon and will be in Mexico for the rugby World Cup in England #fail",negative
Success to Failure to the Climb Back Up http://t.co/M849ZfroNv #success #fail #failure #motivation #entrepreneur #business #marketing,negative
Critical Keys to a Comeback http://t.co/tmrrlvqNXr #fail #comeback #business #hope #inspiration #entrepreneur,negative
"Wow, capitalism and consumerism really brings out the best in people. http://t.co/77WEx3JcWf #BlackFriday #fail",negative
I guess @tacobell does NOTHING believe in #BlackFriday #Fail 😋🙊,negative
ha! first typing RevertToSelf() and add the if() later works. an intellisense-problem it seems ... #vs2015 #fail,negative
"Dear Oracle. Please, please, please stop breaking the links to your documentation. #URLsAreForLife #LearnToRedirectProperly #Fail",negative
Comeback Key http://t.co/FGhjAMvqWn #fail #comeback #business #hope #inspiration #entrepreneur,negative
The biggest reporting #FAIL ever @DDNewsLive @ @IFFI2014Goa https://t.co/o9B70dQraB,negative
Ella's bedroom looks like a cocaine dealer's kitchen after her nappy powder just fucking exploded with the force of Hiroshima! #fail,negative
typing if(RevertToSelf()) in #VS2015 reproducibly crashes my studio ... back to notepad? #fail,negative
See @Argos_Online444 website unable to cope with traffic #fail not even looking for Deals. Another customer lost.,negative
Was up @ 12 trolling sites for the #Infrared6s lol #fail,negative
When you fall asleep reading at 930pm so now you're absolutely wide awake at 530am 😳 #fail,negative
#Repost #latergram from @saramann californians Thanksgiving #fail http://t.co/oJY0haY7UO,negative
Falling over at work is never a good look #fail,negative
http://t.co/AYNQA2tHbv: POV Dirt Bike Slams #Fail. http://t.co/vqDLjM3CqC,negative
http://t.co/AYNQA2tHbv: Funny Animal Videos : Funny Animals #Fail Compilation : Best of June 201 http://t.co/hy0HRnJEgu,negative
Versace #fail http://t.co/bCG8UlRckj,negative
"Save the Children USA ""did not anticipate anything sensitive..in the USA Blair is widely seen very positively"" http://t.co/jl9TxwF2MY #fail",negative
all this time i thought that the 1d special was this weekend #fail,negative
10 People Who Had That One Job And Just Totally Blew It http://t.co/2V6sX0qQhw #Fail #Fails,negative
The pain of getting up and in to work early for an 8:30am meeting only to find it was a 9am start after all. #fail,negative
Sarah Palin - you can't make this shit up.   http://t.co/vshMdK3ZZw #Fail #wtf #Palin,negative
Key to a Comeback http://t.co/FGhjAMvqWn #fail #comeback #business #hope #inspiration #entrepreneur,negative
So @TescoMedia #BlackFriday website collapse is the first genuine #fail on Dave Lewis's watch.Should hve been a plan! http://t.co/R7xeGsJGMD,negative
New @evernote version. #fail #fullofbugs,negative
Don't Let #Retouching #Fail Happen To You! http://t.co/NeA0oH5qdT,negative
Oi @curryspcworld you are running ads and I decide to go to your website and 'You can access the site in 28 mins' #FAIL big time,negative
Need to work out where I can get a charger for my iPhone 4S seeing as mine has died on its arse!! #Fail,negative
Success to Failure to the Climb Back Up http://t.co/xNYNQVgjJu #success #fail #failure #motivation #entrepreneur #business #marketing,negative
Extreme Shopping - First Look - Indies VS PewDiePie http://t.co/Av97xry3Hj #gamerclips #gaming #fail #funny,negative
"Hey .@Argos_Online - it really is a Black Friday, you've sent me 5 showers instead of lamps. At least we'll have clean desks #skills #Fail",negative
"On #VicVotes eve, @LiberalAus @VictorianLabor & @VictorianGreens headed for PT crash: http://t.co/Suin4zpy7I @josietaylor #springst #fail",negative
".@Number10gov @David_Cameron your speech, and actions, should have been said &done 5 years ago before you let UK descend into crisis. #Fail",negative
You had one job  @timesofindia #Fail #Hilarious #TimesOfIndia http://t.co/osj74PVFdA,negative
Disappointed that @curryspcworld and @queueit's online queue times are completely inaccurate. #fail,negative
Never come across someone someone who's more of a failure and joke in my life haha! #Fail #Joke #SomePeople,negative
"""Oh, my bad"". The response from an employer who forgot to attach a document to their email. Wow! That is all. #fail #comical",negative
"Samsung curve TV mein film dekha, didn't even realize that Ye TV curve hai. #Fail",negative
Key to a Comeback http://t.co/tmrrlvqNXr #fail #comeback #business #hope #inspiration #entrepreneur,negative
"""Imagine a potential suspect leading an investigation into a crime they may have committed"" #MH17 #insanity #fail http://t.co/535YvNRXEV",negative
#FAIL i think it's that iced coffee i drank at Denny's that is keeping me awake 🔫,negative
...my inbox is full of fecking #BlackFriday emails. #fail,negative
My amazingly wrapped sushi for my packed lunch today 🙈 #fail #asiancuisine #nom #sushi #yo #pepper… http://t.co/Kl7fWcW1qg,negative
"So, if I wait another 27mins, I might, just might, be able to access the Currys/PC World website #fail http://t.co/OWYQcnDjtK",negative
6 hours of Christmas shopping on Black Friday and only got 2 purses..one of which is for me #fail,negative
Pay day annnnnddd I've lost my bank card... Yes 👍 #fail,negative
Good to see that the uk retailers took their Black Friday capacity planning seriously @EdBloomer #fail,negative
The Key to a Comeback http://t.co/FGhjAMvqWn #fail #comeback #business #hope #inspiration #entrepreneur,negative
"http://t.co/AYNQA2tHbv: Funny #Fail Videos Women, Men &amp; Animals Compilation NEW FULL HD http://t.co/5rn7AhI3YG",negative
My first #Greyhound experience to Durban. Not impressed that the bus arrives an hour late! #FAIL,negative
"The point of online shopping is to avoid queues, but popular sites like Currys/Argos are putting us in one ahahaha! #fail",negative
David Moyes Gets Confused & Forgets His Player's Name! Hilarious! - VIDEO - http://t.co/PrUMoeHRpz  Click to watch#realsociedad #fail #lol,negative
Lol at my brothers trying to sneak into the house at this time #fail😂,negative
Airtel dth is cheating by showing fake offers on tv http://t.co/Si8GEyUMFD  -  @airtel_presence @airtelindia  #dth #Fail .,negative
Pointless @GAMEdigital having hourly deals if we can't get on the website to buy them. #fail,negative
Airtel dth is cheating by showing fake offers on tv http://t.co/Si8GEyUMFD  -  @airtel_presence @airtelindia  #dth #Fail,negative
Finally got a solid sleep in for the first time in weeks. Too bad it was from 7pm-330am. #wideawake #fail #goingtobealongday,negative
Airtel dth is cheating by showing fake offers on tv http://t.co/Si8GEyUMFD  -  @airtel_presence @airtelindia   #Fail,negative
"#VATMOSS #vatmess it's almost as though a government department can't understand this modern Internet thing... Oh, wait... #fail",negative
Trying to look angry #fail #angry @ MediaCorp Caldecott Broadcast Centre http://t.co/PIWN09vlum,negative
"""You're putting words in my mouth."" #fail",negative
4 out of last 5 #amazonprime deliveries late. #fail. @amazonuk.  Forced to take movies you don't want in exchange for late deliveries.,negative
"I found #awesomesauce! Fail from the last picture😂 thanks, Mario 😂😂 #fail #lol #mario...... http://t.co/Z57OfpuMNp http://t.co/9jQJakpJQz",negative
The #most #successful #people  are the ones that try. If they #fail #they try again. Sometimes the #beauty is in the #attempt,negative
"THIS FUCKER TRIED TO TAKE A PHOTO OF THESE COMPLETE STRANGERS, CB NEVER TURN OFF FLASH #FAIL",negative
Kpop videos on YouTube and Sam Adams. This is what #BlackFriday amounts to in korea. #fail,negative
Mom and I couldn't even get out of bed for Black Friday shopping 😖 #fail,negative
Day6: #Mercedes car repaired for less than R5000  @mercedesbenz_sa you have the worst service customer in the world!! @mercedesbenz #fail,negative
ALS Ice Bucket #Challenge #FAIL  #tgp #lobaseuseuheun http://t.co/A9Y42jt5tp,negative
Protesting #capitalism using your #iPhone6 while wearing #AirJordans  #burberry & #coach  http://t.co/JK6jOqXKxI#facepalm #fail #irony,negative
"So disappointed with my @TATAiShakti order. Late Delivery, At An Unsuitable Hour & Sep Pkg delivered on 28Nov! #fail http://t.co/9Cv19HtSte",negative
"The EU is turning out to be a #Fail, but only because of the economic system they choose to live by",negative
The @piccadillyline has had it in for me this week! Late to work on 3 days... Sort it out @TfL! #fail,negative
amazing even tesco direct is down ! #backfriday #fail @Tesco http://t.co/2RXHwW4C6E,negative
"Awesome #blackfridaydeals at @kalaharicom, just head over to their websi.. Oh no wait..Nevermind! #fail",negative
"Currys PC World website also down, couldn't handle Black Friday! #fail #blackfriday",negative
Ok @JetstarAirways web developers should be fucking ashamed of themselves. Worst site I have ever had to deal with. #fail #fail #fail,negative
That's how prepare companies are to black friday! 37m wait time to the website! #fail #blackfriday @curryspcworld http://t.co/4jsjTQNjhm,negative
My head hangs in shame #Fail #Pakistan http://t.co/5IbAlnHxRF #Children #OurFuture #Exploitation #PML_N,negative
How much would it have cost @curryspcworld to up their site bandwidth rather than make people queue on the internet? #BlackFriday #Fail,negative
"#Denemarken ""sponsort"" #jihadisten in Syriehttp://t.co/McKUYZXDay#Politiek #Fraude #Fail #Crisis #ISIS",negative
The Comeback Keys http://t.co/FGhjAMvqWn #fail #comeback #business #hope #inspiration #entrepreneur,negative
"Coworker: ""What's on Monday?"" Me: ""The first if Christmas. I MEAN DECEMBER"" 😂 #fail",negative
TOI strikes again.. #RIPSachinTendulkar????? #Fail http://t.co/bp3zdr5d7I,negative
German #police in the federal state of North Rhine-Westphalia used this photo in a recent press release. #acab #fail http://t.co/aCSTushzav,negative
looks like @argos was ready for #blackfriday not #fail http://t.co/iWHVNhbbFC,negative
http://t.co/AYNQA2tHbv: New Animal Funny Videos 2014 Cat Long Jump #Fail Funny Videos1490 http://t.co/MoAVaMB8v1,negative
http://t.co/AYNQA2tHbv: Epic #Fail Win Compilation JUNE 2014 - FUNNIEST Vine Compilation http://t.co/iCuOxidoJs,negative
#BlackFriday demand crashes @Argos_Online and @curryspcworld #FAIL http://t.co/XWhilwB2qY,negative
"The face of England shown worldwide ,courtesy of @asda .Well done guys ! #Desperados #fail http://t.co/uQK5oIBphe",negative
"Again it's all talking with #Tories, strong words, but just that. #fail",negative
Thank u for all the #spam @Etisalat_Care @etisalat amd I am charged to OPTOUT #FAIL http://t.co/eT4MG6UmHg,negative
Guess what?Another signal failure on the @piccadillyline.... #Londoncommuting #fail,negative
Busted twice #doublegirl #fail,negative
Isn't the whole idea of the internet screwed if you have only access from the provider's country. #internettv #fail,negative
Love how many big retail shops have crashed websites today #fail,negative
"Trying to buy something normal at @asda told come back tomorrow, parts of the store are now closed for today!? #fail http://t.co/iJMTBW0C4S",negative
Decided not to get involved with the #BlackFriday madness - #fail #ChristmasGiftIdeas #Amazon got me already #delivery coming next week lol,negative
You know when you need some inspiration to get that last rep out and fucking take that is playing #Fail #Gymprobz,negative
"A lot of websites not dealing with #blackfriday. Poor #ux , server errors, timeouts. #fail #webmaster",negative
"another #BlackFriday #fail, this time from @AmazonUK http://t.co/r3vOTNSlZA",negative
Does any retail website work this morning?! #fail,negative
"#fail 2)@TheSunNewspaper someone didn't check the spelling before printing, how many millions of copies? http://t.co/IHDCnlPZrj",negative
#fail 1)Misleading offer by @Morrisons doesn't say have to spend the £10 on fruit&veg only. 1/2 http://t.co/DGFJmoBH1J,negative
I love how one of the reasons for reading is because books don't judge like people. And then they call readers bookworms in the title. #fail,negative
"Of course trying to explain ""Bono"" to the Japanese store assistant in my poor Japanese when she told me the otter was BonoBono was a #fail!",negative
The Key to a Comeback http://t.co/tmrrlvqNXr #fail #comeback #business #hope #inspiration #entrepreneur,negative
Random Rant Learning  Drive By Editing Fail: http://t.co/B6LpmwzfxW#funny #rant #Parody  #fail #new #video #BlackFriday #hilarious #jokes,negative
How's your black Friday sale going? ecommerce #FAIL @amazon http://t.co/UQjAdaYKDM,negative
Pervez Rashid is trying so hard to sound funny and sarcastic but...#fail. When did it become illegal to carry cash even if it's illogical?,negative
Smalltime Partisan hacks like Chris Uhlmann survive while @QuentinDempster is sacked #fail #abccuts,negative
"Well for what I'm about to do I blame @lootcrate and @Tesco for messing up my day off, my this be on your heads and hands!! #mad #sad #fail",negative
"Extra 20 mins needed to get to work despite a ""good"" service reported on the @centralline and @districtline - get it right #tfl #fail",negative
4am #failPS4 complains it can’t start game without disc. Spend 15 minutes on forums looking for ways to resolve issue.Insert disc.Win.,negative
Extremely disappointed with @Dell Inspiron 14 74:37 and specially the touchpad #fail,negative
